Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.900000,4999.100138,2999.100138,100.899862,100.899862,300
0.903000,4999.097138,2999.097138,100.902862,100.902862,301
0.906000,4999.094139,2999.094139,100.905861,100.905861,302
0.909000,4999.091139,2999.091139,100.908861,100.908861,303
0.912000,4999.088140,2999.088140,100.911860,100.911860,304
0.915000,4999.085140,2999.085140,100.914860,100.914860,305
0.918000,4999.082141,2999.082141,100.917859,100.917859,306
0.921000,4999.079141,2999.079141,100.920859,100.920859,307
0.924000,4999.076142,2999.076142,100.923858,100.923858,308
0.927000,4999.073142,2999.073142,100.926858,100.926858,309
0.930000,4999.070143,2999.070143,100.929857,100.929857,310
0.933000,4999.067143,2999.067143,100.932857,100.932857,311
0.936000,4999.064144,2999.064144,100.935856,100.935856,312
0.939000,4999.061144,2999.061144,100.938856,100.938856,313
0.942000,4999.058144,2999.058144,100.941856,100.941856,314
0.945000,4999.055145,2999.055145,100.944855,100.944855,315
0.948000,4999.052145,2999.052145,100.947855,100.947855,316
0.951000,4999.049146,2999.049146,100.950854,100.950854,317
0.954000,4999.046146,2999.046146,100.953854,100.953854,318
0.957000,4999.043147,2999.043147,100.956853,100.956853,319
0.960000,4999.040147,2999.040147,100.959853,100.959853,320
0.963000,4999.037148,2999.037148,100.962852,100.962852,321
0.966000,4999.034148,2999.034148,100.965852,100.965852,322
0.969000,4999.031149,2999.031149,100.968851,100.968851,323
0.972000,4999.028149,2999.028149,100.971851,100.971851,324
0.975000,4999.025150,2999.025150,100.974850,100.974850,325
0.978000,4999.022150,2999.022150,100.977850,100.977850,326
0.981000,4999.019150,2999.019150,100.980850,100.980850,327
0.984000,4999.016151,2999.016151,100.983849,100.983849,328
0.987000,4999.013151,2999.013151,100.986849,100.986849,329
0.990000,4999.010152,2999.010152,100.989848,100.989848,330
0.993000,4999.007152,2999.007152,100.992848,100.992848,331
0.996000,4999.004153,2999.004153,100.995847,100.995847,332
0.999000,4999.001153,2999.001153,100.998847,100.998847,333
1.002000,4998.998154,2998.998154,101.001846,101.001846,334
1.005000,4998.995154,2998.995154,101.004846,101.004846,335
1.008000,4998.992155,2998.992155,101.007845,101.007845,336
1.011000,4998.989155,2998.989155,101.010845,101.010845,337
1.014000,4998.986155,2998.986155,101.013845,101.013845,338
1.017000,4998.983156,2998.983156,101.016844,101.016844,339
